"GEO_ID","NAME","POPUNI","PRED0_E","PRED0_M","PRED0_PE","PRED0_PM","PRED12_E","PRED12_M","PRED12_PE","PRED12_PM","PRED3_E","PRED3_M","PRED3_PE","PRED3_PM",
"Geographic Identifier","Geographic Area Name","Population Universe","Estimated number of individuals with zero components of social vulnerability","Estimated margin of error for individuals with zero components of social vulnerability","Rate of individuals with zero components of social vulnerability","Margin of error for the rate of  individuals with zero components of social vulnerability","Estimated number of individuals with one-two components of social vulnerability","Estimated margin of error for individuals with one-two components of social vulnerability","Rate of individuals with one-two components of social vulnerability","Margin of error for the rate of  individuals with one-two components of social vulnerability","Estimated number of individuals with three or more components of social vulnerability","Estimated margin of error for individuals with three or more components of social vulnerability","Rate of individuals with three or more components of social vulnerability","Margin of error for the rate of  individuals with three or more components of social vulnerability",
"0400000US01","Alabama","4974000","1696217","64288","34.10","1.29","2070599","67122","41.63","1.35","1207184","57113","24.27","1.15",
"0400000US02","Alaska","726456","217967","20020","30.00","2.76","358362","21089","49.33","2.90","150127","15921","20.67","2.19",
"0400000US04","Arizona","7258726","2337773","278068","32.21","3.83","3449144","295666","47.52","4.07","1471809","230993","20.28","3.18",
"0400000US05","Arkansas","2989747","950459","39622","31.79","1.33","1311297","41711","43.86","1.40","727991","34413","24.35","1.15",
"0400000US06","California","38627136","11176538","659513","28.93","1.71","19710485","740415","51.03","1.92","7740113","602735","20.04","1.56",
"0400000US08","Colorado","5771236","2337002","100661","40.49","1.74","2521692","103894","43.69","1.80","912542","77636","15.81","1.35",
"0400000US09","Connecticut","3548322","1425529","84419","40.17","2.38","1476793","87077","41.62","2.45","646000","68823","18.21","1.94",
"0400000US10","Delaware","1002476","367592","38714","36.67","3.86","435171","40439","43.41","4.03","199713","32839","19.92","3.28",
"0400000US11","District of Columbia","647023","233016","42048","36.01","6.50","274256","44222","42.39","6.83","139751","35815","21.60","5.54",
"0400000US12","Florida","21964298","6841901","293051","31.15","1.33","10223404","317992","46.55","1.45","4898993","266566","22.30","1.21",
"0400000US13","Georgia","10739778","3968876","124634","36.95","1.16","4670675","128977","43.49","1.20","2100227","101129","19.56","0.94",
"0400000US15","Hawaii","1430111","400971","59768","28.04","4.18","743246","64594","51.97","4.52","285894","51430","19.99","3.60",
"0400000US16","Idaho","1904925","696457","38100","36.56","2.00","878619","38577","46.12","2.03","329849","27881","17.32","1.46",
"0400000US17","Illinois","12437174","4663409","330044","37.50","2.65","5218052","353517","41.96","2.84","2555713","301217","20.55","2.42",
"0400000US18","Indiana","6716137","2664593","86067","39.67","1.28","2740402","87969","40.80","1.31","1311142","71301","19.52","1.06",
"0400000US19","Iowa","3139602","1331453","41774","42.41","1.33","1245497","41511","39.67","1.32","562652","32004","17.92","1.02",
"0400000US20","Kansas","2888570","1165910","53988","40.36","1.87","1190826","54009","41.23","1.87","531834","42096","18.41","1.46",
"0400000US21","Kentucky","4437619","1601221","58924","36.08","1.33","1849955","60228","41.69","1.36","986443","50085","22.23","1.13",
"0400000US22","Louisiana","4505306","1421433","60518","31.55","1.34","1962594","64193","43.56","1.42","1121279","54602","24.89","1.21",
"0400000US23","Maine","1364943","522477","27441","38.28","2.01","591162","27602","43.31","2.02","251304","20762","18.41","1.52",
"0400000US24","Maryland","6090568","2393429","116490","39.30","1.91","2583515","123541","42.42","2.03","1113624","101296","18.28","1.66",
"0400000US25","Massachusetts","6818948","2768436","141834","40.60","2.08","2820512","145070","41.36","2.13","1230000","114672","18.04","1.68",
"0400000US26","Michigan","9902050","3816200","161114","38.54","1.63","4085883","166189","41.26","1.68","1999967","137833","20.20","1.39",
"0400000US27","Minnesota","5655744","2443873","93508","43.21","1.65","2251256","94416","39.80","1.67","960615","74809","16.98","1.32",
"0400000US28","Mississippi","2876178","881617","30791","30.65","1.07","1223839","32702","42.55","1.14","770722","28457","26.80","0.99",
"0400000US29","Missouri","6087993","2385947","87828","39.19","1.44","2496334","89071","41.00","1.46","1205712","71996","19.80","1.18",
"0400000US30","Montana","1108203","389587","18411","35.15","1.66","507499","18943","45.79","1.71","211117","14175","19.05","1.28",
"0400000US31","Nebraska","1939472","809040","44069","41.71","2.27","781665","44240","40.30","2.28","348767","34574","17.98","1.78",
"0400000US32","Nevada","3155447","964148","142099","30.56","4.50","1531743","152983","48.54","4.85","659556","122644","20.90","3.89",
"0400000US33","New Hampshire","1373148","599943","35116","43.69","2.56","561761","34823","40.91","2.54","211444","25485","15.40","1.86",
"0400000US34","New Jersey","9167760","3357732","136032","36.63","1.48","3912659","148435","42.68","1.62","1897369","128262","20.70","1.40",
"0400000US35","New Mexico","2088425","604822","48067","28.96","2.30","970271","51680","46.46","2.47","513332","42012","24.58","2.01",
"0400000US36","New York","19373783","5856366","295060","30.23","1.52","8564373","331163","44.21","1.71","4953044","293899","25.57","1.52",
"0400000US37","North Carolina","10527828","3838372","123247","36.46","1.17","4537428","126875","43.10","1.21","2152028","98750","20.44","0.94",
"0400000US38","North Dakota","762166","323973","16097","42.51","2.11","303965","15923","39.88","2.09","134228","12210","17.61","1.60",
"0400000US39","Ohio","11590793","4625108","147683","39.90","1.27","4634660","151319","39.99","1.31","2331025","124964","20.11","1.08",
"0400000US40","Oklahoma","3944885","1251433","68751","31.72","1.74","1782048","71947","45.17","1.82","911404","58691","23.10","1.49",
"0400000US41","Oregon","4192775","1431127","74902","34.13","1.79","1938737","78871","46.24","1.88","822911","60650","19.63","1.45",
"0400000US42","Pennsylvania","12682057","4957844","164249","39.09","1.30","5088441","174244","40.12","1.37","2635772","146634","20.78","1.16",
"0400000US44","Rhode Island","1065514","412034","41911","38.67","3.93","451421","44272","42.37","4.15","202059","37083","18.96","3.48",
"0400000US45","South Carolina","5197707","1850138","70640","35.60","1.36","2235417","72622","43.01","1.40","1112152","57296","21.40","1.10",
"0400000US46","South Dakota","893537","365525","16575","40.91","1.85","352294","16556","39.43","1.85","175718","13014","19.67","1.46",
"0400000US47","Tennessee","6956049","2552343","92427","36.69","1.33","2881895","95909","41.43","1.38","1521811","81048","21.88","1.17",
"0400000US48","Texas","29620910","9465803","422073","31.96","1.42","13615263","459883","45.97","1.55","6539844","387621","22.08","1.31",
"0400000US49","Utah","3345582","1447326","86736","43.26","2.59","1466289","87921","43.83","2.63","431967","61687","12.91","1.84",
"0400000US50","Vermont","629444","247303","13340","39.29","2.12","274123","13357","43.55","2.12","108018","9914","17.16","1.58",
"0400000US51","Virginia","8532298","3385837","99249","39.68","1.16","3609386","102153","42.30","1.20","1537075","79374","18.01","0.93",
"0400000US53","Washington","7724756","2789213","158433","36.11","2.05","3582975","165860","46.38","2.15","1352568","124724","17.51","1.61",
"0400000US54","West Virginia","1737650","612565","21060","35.25","1.21","716879","21608","41.26","1.24","408206","17310","23.49","1.00",
"0400000US55","Wisconsin","5808338","2359620","78958","40.62","1.36","2378235","81410","40.95","1.40","1070483","66639","18.43","1.15",
"0400000US56","Wyoming","572993","209655","11025","36.59","1.92","256127","11359","44.70","1.98","107211","8513","18.71","1.49",
